V1,Treatment,Condition,Duration,Dose,narrow_group,broad_group
IFNB&Duration:6h@Condition:Fibroblast@GSE50954.MicroArray.GPL6104,IFNB,Fibroblast,6h,,,Fibroblast
IFNB&Duration:8h@Condition:fibroblast@E-MTAB-5919.RNASeq.ERP024336_GRCh38,IFNB,Fibroblast,8h,,,Fibroblast
IFNG@Condition:Fibroblast@GSE3920.MicroArray.GPL96,IFNG,Fibroblast,,,,Fibroblast
IFNG&Duration:6h@Condition:Fibroblast@GSE50954.MicroArray.GPL6104,IFNG,Fibroblast,6h,,,Fibroblast
IFNG&Dose:100 IU/mL_Duration:4d@Condition:fibroblasts@GSE38798.MicroArray.GPL6947,IFNG,Fibroblast,4d,100IU/mL,,Fibroblast
IFNG@Condition:Fibroblasts@GSE76340.MicroArray.GPL6947,IFNG,Fibroblast,,,,Fibroblast
IL13&Duration:12@Condition:Fibroblast@GSE56308.MicroArray.GPL6480,IL13,Fibroblast,12,,,Fibroblast
IL13&Duration:24@Condition:Fibroblast@GSE56308.MicroArray.GPL6480,IL13,Fibroblast,24,,,Fibroblast
IL13&Duration:2@Condition:Fibroblast@GSE56308.MicroArray.GPL6480,IL13,Fibroblast,2,,,Fibroblast
IL13&Duration:4@Condition:Fibroblast@GSE56308.MicroArray.GPL6480,IL13,Fibroblast,4,,,Fibroblast
IL13&Duration:8@Condition:Fibroblast@GSE56308.MicroArray.GPL6480,IL13,Fibroblast,8,,,Fibroblast
IL17A&Duration:12h@Condition:Human fibroblasts&Dose:1 ng/mL@GSE129484.MicroArray.HuGene-1_0-st-v1,IL17A,Fibroblast,12h,1ng/mL,,Fibroblast
IL17A&Duration:18h@Condition:Human fibroblasts&Dose:1 ng/mL@GSE129484.MicroArray.HuGene-1_0-st-v1,IL17A,Fibroblast,18h,1ng/mL,,Fibroblast
IL17A&Duration:1h@Condition:Human fibroblasts&Dose:1 ng/mL@GSE129484.MicroArray.HuGene-1_0-st-v1,IL17A,Fibroblast,1h,1ng/mL,,Fibroblast
IL17A&Duration:24h@Condition:Human fibroblasts&Dose:1 ng/mL@GSE129484.MicroArray.HuGene-1_0-st-v1,IL17A,Fibroblast,24h,1ng/mL,,Fibroblast
IL17A&Duration:2h@Condition:Human fibroblasts&Dose:1 ng/mL@GSE129484.MicroArray.HuGene-1_0-st-v1,IL17A,Fibroblast,2h,1ng/mL,,Fibroblast
IL17A&Duration:4h@Condition:Human fibroblasts&Dose:1 ng/mL@GSE129484.MicroArray.HuGene-1_0-st-v1,IL17A,Fibroblast,4h,1ng/mL,,Fibroblast
IL17A&Duration:8h@Condition:Human fibroblasts&Dose:1 ng/mL@GSE129484.MicroArray.HuGene-1_0-st-v1,IL17A,Fibroblast,8h,1ng/mL,,Fibroblast
IL1B@Condition:Fibroblast&Duration:2h@GSE40560.MicroArray.GPL10558,IL1B,Fibroblast,2h,,,Fibroblast
IL1B@Condition:Fibroblast&Duration:6h@GSE40560.MicroArray.GPL10558,IL1B,Fibroblast,6h,,,Fibroblast
IL1B&Dose:20ng/ml_Duration:2h@Condition:Fibroblast@GSE38652.MicroArray.GPL10558,IL1B,Fibroblast,2h,20ng/mL,,Fibroblast
IL1B&Dose:20ng/ml_Duration:8h@Condition:Fibroblast@GSE38652.MicroArray.GPL10558,IL1B,Fibroblast,8h,20ng/mL,,Fibroblast
IL1B&Dose:@Condition:Fibroblast@GSE92466.MicroArray.GPL10558,IL1B,Fibroblast,,,,Fibroblast
IL1B&Dose:3 ng/ml_Duration:6h@Condition:Fibroblast@GSE121241.RNASeq.SRP165732_GRCh38,IL1B,Fibroblast,6h,3ng/mL,,Fibroblast
IL1B&Dose:5ng/ml@Condition:fibroblast&Duration:24h@GSE31064.MicroArray.GPL10558,IL1B,Fibroblast,24h,5ng/mL,,Fibroblast
IL1B&Dose:5ng/ml@Condition:fibroblast&Duration:8h@GSE31064.MicroArray.GPL10558,IL1B,Fibroblast,8h,5ng/mL,,Fibroblast
IL4&Duration:12@Condition:Fibroblast@GSE56308.MicroArray.GPL6480,IL4,Fibroblast,12,,,Fibroblast
IL4&Duration:24@Condition:Fibroblast@GSE56308.MicroArray.GPL6480,IL4,Fibroblast,24,,,Fibroblast
IL4&Duration:2@Condition:Fibroblast@GSE56308.MicroArray.GPL6480,IL4,Fibroblast,2,,,Fibroblast
IL4&Duration:4@Condition:Fibroblast@GSE56308.MicroArray.GPL6480,IL4,Fibroblast,4,,,Fibroblast
IL4&Duration:8@Condition:Fibroblast@GSE56308.MicroArray.GPL6480,IL4,Fibroblast,8,,,Fibroblast
LIF&Duration:48h@Condition:Fibroblast&Dose:0.2ug@GSE81996.MicroArray.GPL17077,LIF,Fibroblast,48h,0.2ug,,Fibroblast
LIF&Duration:15d@Condition:Fibroblast&Dose:0.2ug@GSE81997.MicroArray.GPL17077,LIF,Fibroblast,15d,0.2ug,,Fibroblast
LTA&Dose:@Condition:Fibroblast@GSE92466.MicroArray.GPL10558,LTA,Fibroblast,,,,Fibroblast
TGFB1@Condition:fibroblast&Duration:12h@GSE99999.RNASeq.SRP109118_GRCh38,TGFB1,Fibroblast,12h,,,Fibroblast
TGFB1@Condition:fibroblast&Duration:48h@GSE99999.RNASeq.SRP109118_GRCh38,TGFB1,Fibroblast,48h,,,Fibroblast
TGFB1&Dose:10 ng/ul@Condition:Fibroblast&Duration:48h@GSE27597.MicroArray.HuGene-1_0-st-v1,TGFB1,Fibroblast,48h,10ng/ul,,Fibroblast
TGFB1&Duration:48h@Condition:Fibroblast&Dose:0.2ug@GSE81996.MicroArray.GPL17077,TGFB1,Fibroblast,48h,0.2ug,,Fibroblast
TGFB1&Duration:15d@Condition:Fibroblast&Dose:0.2ug@GSE81997.MicroArray.GPL17077,TGFB1,Fibroblast,15d,0.2ug,,Fibroblast
TGFB2&Duration:24h@Condition:fibroblast@E-MTAB-4871.MicroArray.exprs,TGFB2,Fibroblast,24h,,,Fibroblast
TNFA@Condition:Fibroblast&Duration:2h@GSE40560.MicroArray.GPL10558,TNFA,Fibroblast,2h,,,Fibroblast
TNFA@Condition:Fibroblast&Duration:6h@GSE40560.MicroArray.GPL10558,TNFA,Fibroblast,6h,,,Fibroblast
TNFA&Dose:20 ng/ml@Condition:Fibroblast@GSE92466.MicroArray.GPL10558,TNFA,Fibroblast,,20ng/mL,,Fibroblast
TNFA&Dose:5ng/ml@Condition:fibroblast&Duration:24h@GSE31064.MicroArray.GPL10558,TNFA,Fibroblast,24h,5ng/mL,,Fibroblast
TNFA&Dose:5ng/ml@Condition:fibroblast&Duration:8h@GSE31064.MicroArray.GPL10558,TNFA,Fibroblast,8h,5ng/mL,,Fibroblast
WNT3A@Condition:fibroblast&Duration:24h@E-MTAB-837.MicroArray.ChipsterNormalized_Replicate1+2_24h,WNT3A,Fibroblast,24h,,,Fibroblast
WNT3A@Condition:fibroblast&Duration:8h@E-MTAB-837.MicroArray.ChipsterNormalized_Replicate1+2_8h,WNT3A,Fibroblast,8h,,,Fibroblast
IL13@Condition:Fibroblast.IMR-90@GSE47527.MicroArray.GPL6480,IL13,Fibroblast.Imr90,,,Lung_Fibroblast,Fibroblast
IL13@Condition:Fibroblast.IMR90&Duration:24h@GSE47542.MicroArray.GPL6480,IL13,Fibroblast.Imr90,24h,,Lung_Fibroblast,Fibroblast
IL4@Condition:Fibroblast.IMR90&Duration:24h@GSE47542.MicroArray.GPL6480,IL4,Fibroblast.Imr90,24h,,Lung_Fibroblast,Fibroblast
OSM&Dose:10 ng/mL@Condition:Fibroblast.IMR90@GSE29655.MicroArray.HuGene-1_0-st-v1,OSM,Fibroblast.Imr90,,10ng/mL,Lung_Fibroblast,Fibroblast
TNFA@Condition:Fibroblast.IMR90&Duration:24h@GSE47542.MicroArray.GPL6480,TNFA,Fibroblast.Imr90,24h,,Lung_Fibroblast,Fibroblast
IFNG@Condition:Fibroblastic Reticular Cell@GSE89612.MicroArray.GPL16699,IFNG,Fibroblastic Reticular,,,,Fibroblast
IL1B&Dose:20ng/ml@Condition:Fibroblasts from healthy control&Duration:4h@GSE32390.MicroArray.GPL10558,IL1B,Fibroblasts From Healthy Control,4h,20ng/mL,,Fibroblast
HGF@Condition:H1975&Duration:24h@GSE98979.MicroArray.HuGene-2_0-st,HGF,H1975,24h,,H1975,Lung_tumor
HGF@Condition:H1975&Duration:48h@GSE98979.MicroArray.HuGene-2_0-st,HGF,H1975,48h,,H1975,Lung_tumor
TGFB1@Condition:H1975&Duration:24h@GSE98979.MicroArray.HuGene-2_0-st,TGFB1,H1975,24h,,H1975,Lung_tumor
TGFB1@Condition:H1975&Duration:48h@GSE98979.MicroArray.HuGene-2_0-st,TGFB1,H1975,48h,,H1975,Lung_tumor
TGFB1@Condition:HCC827@GSE49644.MicroArray.HG-U133_Plus_2,TGFB1,Hcc827,,,Hcc827,Lung_tumor
TGFB1&Duration:30d@Condition:HCC827 cell line@GSE123031.MicroArray.GPL10558,TGFB1,Hcc827,30d,,Hcc827,Lung_tumor
TGFB1@Condition:HFL1 fibroblast@GSE34815.MicroArray.GPL13607,TGFB1,Hfl1 Fibroblast,,,,Fibroblast
IL1B@Condition:IL-1RI- Th17@GSE127457.RNASeq.SRP187077_GRCh38,IL1B,Il1Ri- Th17,,,,Tcell
IL1B@Condition:IL-1RI+ Th17@GSE127457.RNASeq.SRP187077_GRCh38,IL1B,Il1Ri+ Th17,,,,Tcell
PDGFD@Condition:ILC1@GSE107043.MicroArray.HuGene-1_0-st-v1,PDGFD,Ilc1,,,,ILC
IL1B&Dose:10 ng/ml@Condition:ILC2@GSE72460.RNASeq.SRP062910_GRCh38,IL1B,Ilc2,,10ng/mL,,ILC
"IL25@Condition:ILC2 (Lineage negative, CRTH2+, CD161+, CD127+)&Duration:24h@GSE45458.MicroArray.GPL13497",IL25,Ilc2,24h,,,ILC
"IL25@Condition:ILC2 (Lineage negative, CRTH2+, CD161+, CD127+)&Duration:6h@GSE45458.MicroArray.GPL13497",IL25,Ilc2,6h,,,ILC
"IL33@Condition:ILC2 (Lineage negative, CRTH2+, CD161+, CD127+)&Duration:24h@GSE45458.MicroArray.GPL13497",IL33,Ilc2,24h,,,ILC
"IL33@Condition:ILC2 (Lineage negative, CRTH2+, CD161+, CD127+)&Duration:6h@GSE45458.MicroArray.GPL13497",IL33,Ilc2,6h,,,ILC
"TSLP@Condition:ILC2 (Lineage negative, CRTH2+, CD161+, CD127+)&Duration:24h@GSE45458.MicroArray.GPL13497",TSLP,Ilc2,24h,,,ILC
IFNA@Condition:Immature DC@GSE7509.MicroArray.HG-U133_Plus_2,IFNA,Immature Dc,,,,DC
CD40L@Condition:immature dendritic cells&Duration:1h@GSE85544.MicroArray.HT_HG-U133_Plus_PM,CD40L,Immature Dendritic,1h,,,DC
CD40L@Condition:immature dendritic cells&Duration:24h@GSE85544.MicroArray.HT_HG-U133_Plus_PM,CD40L,Immature Dendritic,24h,,,DC
CD40L@Condition:immature dendritic cells&Duration:3h@GSE85544.MicroArray.HT_HG-U133_Plus_PM,CD40L,Immature Dendritic,3h,,,DC
CXCL8@Condition:immature dendritic cells (iDCs)@GSE39999.MicroArray.HG-U133_Plus_2,CXCL8,Immature Dendritic Cells,,,,DC
TNFA&Dose:10 ng/ml_Duration:17h@Condition:Jurkat cells@GSE2504.MicroArray.GPL96,TNFA,Jurkat,17h,10ng/mL,,Tcell
TNFA@Condition:Jurkat (T cell line)@GSE46599.MicroArray.GPL10558,TNFA,Jurkat,,,,Tcell
IFNA&Dose:100u/ml@Condition:cell_line_A549&Duration:24h@GSE21158.MicroArray.GPL6098,IFNA,Line_A549,24h,100U/mL,A549,Lung_tumor
IFNG@Condition:Lung adenocarcinoma@GSE109720.RNASeq.SRP131516_GRCh38,IFNG,Lung Adenocarcinoma,,,LUAD,Lung_tumor
TGFB1&Dose:2ng/ml_Duration:12h@Condition:lung epithelial cells@GSE26858.MicroArray.GPL6480,TGFB1,Lung Epithelial,12h,2ng/mL,Lung_Epithelial,Epithelial
TGFB1&Dose:2ng/ml_Duration:24h@Condition:lung epithelial cells@GSE26858.MicroArray.GPL6480,TGFB1,Lung Epithelial,24h,2ng/mL,Lung_Epithelial,Epithelial
TGFB1&Dose:2ng/ml_Duration:2h@Condition:lung epithelial cells@GSE26858.MicroArray.GPL6480,TGFB1,Lung Epithelial,2h,2ng/mL,Lung_Epithelial,Epithelial
EGF@Condition:Human Lung Fibroblasts&Duration:0.5h@GSE60880.MicroArray.HG-U133A_2,EGF,Lung Fibroblast,0.5h,,Lung_Fibroblast,Fibroblast
EGF@Condition:Human Lung Fibroblasts&Duration:1.0h@GSE60880.MicroArray.HG-U133A_2,EGF,Lung Fibroblast,1h,,Lung_Fibroblast,Fibroblast
EGF@Condition:Human Lung Fibroblasts&Duration:2.0h@GSE60880.MicroArray.HG-U133A_2,EGF,Lung Fibroblast,2h,,Lung_Fibroblast,Fibroblast
EGF@Condition:Human Lung Fibroblasts&Duration:8.0h@GSE60880.MicroArray.HG-U133A_2,EGF,Lung Fibroblast,8h,,Lung_Fibroblast,Fibroblast
IL13@Condition:lung fibroblast cell line@GSE56338.MicroArray.GPL10558,IL13,Lung Fibroblast,,,Lung_Fibroblast,Fibroblast
IL1B@Condition:Human Lung Fibroblasts&Duration:0.5h@GSE60880.MicroArray.HG-U133A_2,IL1B,Lung Fibroblast,0.5h,,Lung_Fibroblast,Fibroblast
IL1B@Condition:Human Lung Fibroblasts&Duration:1.0h@GSE60880.MicroArray.HG-U133A_2,IL1B,Lung Fibroblast,1h,,Lung_Fibroblast,Fibroblast
IL1B@Condition:Human Lung Fibroblasts&Duration:2.0h@GSE60880.MicroArray.HG-U133A_2,IL1B,Lung Fibroblast,2h,,Lung_Fibroblast,Fibroblast
IL1B@Condition:Human Lung Fibroblasts&Duration:8.0h@GSE60880.MicroArray.HG-U133A_2,IL1B,Lung Fibroblast,8h,,Lung_Fibroblast,Fibroblast
TGFB1@Condition:Human Lung Fibroblasts&Duration:8.0h@GSE60880.MicroArray.HG-U133A_2,TGFB1,Lung Fibroblast,8h,,Lung_Fibroblast,Fibroblast
TGFB1&Duration:24h@Condition:Lung_fibroblast_IPF@GSE135065.MicroArray.PrimeView,TGFB1,Lung_Fibroblast_Ipf,24h,,,Fibroblast
TGFB1&Duration:5d@Condition:Lung_fibroblast_IPF@GSE135065.MicroArray.PrimeView,TGFB1,Lung_Fibroblast_Ipf,5d,,,Fibroblast
TGFB1&Duration:24h@Condition:Lung_fibroblast_normal@GSE135065.MicroArray.PrimeView,TGFB1,Lung_Fibroblast_Normal,24h,,Lung_Fibroblast,Fibroblast
TGFB1&Duration:5d@Condition:Lung_fibroblast_normal@GSE135065.MicroArray.PrimeView,TGFB1,Lung_Fibroblast_Normal,5d,,Lung_Fibroblast,Fibroblast
ADM@Condition:Human lymphatic endothelial cells&Duration:0.25h@GSE59938.MicroArray.GPL4133,ADM,Lymphatic Endothelial,0.25h,,,Endothelial
ADM@Condition:Human lymphatic endothelial cells&Duration:1.0h@GSE59938.MicroArray.GPL4133,ADM,Lymphatic Endothelial,1h,,,Endothelial
ADM@Condition:Human lymphatic endothelial cells&Duration:24.0h@GSE59938.MicroArray.GPL4133,ADM,Lymphatic Endothelial,24h,,,Endothelial
HGF@Condition:lymphatic endothelial cells@E-MEXP-256.MicroArray.HG-U133_Plus_2,HGF,Lymphatic Endothelial,,,,Endothelial
VEGFA&Duration:1h@Condition:lymphatic endothelial cell@GSE11228.MicroArray.GPL2986,VEGFA,Lymphatic Endothelial,1h,,,Endothelial
VEGFA&Duration:24h@Condition:lymphatic endothelial cell@GSE11228.MicroArray.GPL2986,VEGFA,Lymphatic Endothelial,24h,,,Endothelial
VEGFA&Duration:4h@Condition:lymphatic endothelial cell@GSE11228.MicroArray.GPL2986,VEGFA,Lymphatic Endothelial,4h,,,Endothelial
VEGFA&Duration:8h@Condition:lymphatic endothelial cell@GSE11228.MicroArray.GPL2986,VEGFA,Lymphatic Endothelial,8h,,,Endothelial
VEGFC&Duration:1h@Condition:lymphatic endothelial cell@GSE11228.MicroArray.GPL2986,VEGFC,Lymphatic Endothelial,1h,,,Endothelial
VEGFC&Duration:24h@Condition:lymphatic endothelial cell@GSE11228.MicroArray.GPL2986,VEGFC,Lymphatic Endothelial,24h,,,Endothelial
VEGFC&Duration:4h@Condition:lymphatic endothelial cell@GSE11228.MicroArray.GPL2986,VEGFC,Lymphatic Endothelial,4h,,,Endothelial
VEGFC&Duration:8h@Condition:lymphatic endothelial cell@GSE11228.MicroArray.GPL2986,VEGFC,Lymphatic Endothelial,8h,,,Endothelial
TGFB1&Duration:24h@Condition:Macrophage IL4@GSE7568.MicroArray.HG-U133_Plus_2,TGFB1,Macrophage Il4,24h,,,Mac_Mono
IFNB@Condition:memory T-cells@GSE35601.MicroArray.HuGene-1_0-st-v1,IFNB,Memory T,,,,Tcell
CCL2&Duration:2h@Condition:Monocyte@GSE47122.MicroArray.HG-U133_Plus_2,CCL2,Monocyte,2h,,,Mac_Mono
EPO&Duration:2w@Condition:monocyte@GSE17582.MicroArray.GPL6883,EPO,Monocyte,2w,,,Mac_Mono
GMCSF@Condition:Monocyte@GSE123573.RNASeq.SRP173248_GRCh38,GMCSF,Monocyte,,,,Mac_Mono
GMCSF@Condition:Monocyte@GSE63662.MicroArray.HG-U133_Plus_2,GMCSF,Monocyte,,,,Mac_Mono
GMCSF&Duration:12h@Condition:Monocyte@GSE35304.MicroArray.GPL6480,GMCSF,Monocyte,12h,,,Mac_Mono
GMCSF&Duration:24h@Condition:Monocyte@GSE35304.MicroArray.GPL6480,GMCSF,Monocyte,24h,,,Mac_Mono
GMCSF&Duration:48h@Condition:Monocyte@GSE35304.MicroArray.GPL6480,GMCSF,Monocyte,48h,,,Mac_Mono
GMCSF&Duration:4h@Condition:Monocyte@GSE35304.MicroArray.GPL6480,GMCSF,Monocyte,4h,,,Mac_Mono
GMCSF@Condition:Monocyte@GSE75938.MicroArray.PrimeView,GMCSF,Monocyte,,,,Mac_Mono
GMCSF@Condition:Monocyte@GSE123270.MicroArray.GPL10558,GMCSF,Monocyte,,,,Mac_Mono
GMCSF@Condition:Monocyte@GSE41889.MicroArray.HG-U133_Plus_2,GMCSF,Monocyte,,,,Mac_Mono
IFNA@Condition:Monocyte@GSE72502.RNASeq.SRP062958_GRCh38,IFNA,Monocyte,,,,Mac_Mono
IFNA@Condition:Monocyte@GSE100382.RNASeq.SRP110187_GRCh38,IFNA,Monocyte,,,,Mac_Mono
IFNA@Condition:Monocytes&Duration:1.5h@GSE38351.MicroArray.HG-U133_Plus_2,IFNA,Monocyte,1.5h,,,Mac_Mono
IFNA@Condition:Monocyte&Duration:1h@GSE46911.MicroArray.HG-U133A,IFNA,Monocyte,1h,,,Mac_Mono
IFNA@Condition:Monocyte&Duration:24h@GSE46911.MicroArray.HG-U133A,IFNA,Monocyte,24h,,,Mac_Mono
IFNA@Condition:Monocyte&Duration:2d@GSE46911.MicroArray.HG-U133A,IFNA,Monocyte,2d,,,Mac_Mono
IFNA@Condition:Monocyte&Duration:3d@GSE46911.MicroArray.HG-U133A,IFNA,Monocyte,3d,,,Mac_Mono
IFNA@Condition:Monocyte&Duration:6h@GSE46911.MicroArray.HG-U133A,IFNA,Monocyte,6h,,,Mac_Mono
IFNB@Condition:Monocytes@GSE34627.MicroArray.GPL6884,IFNB,Monocyte,,,,Mac_Mono
IFNG@Condition:monocytes@GSE120944.RNASeq.SRP164578_GRCh38,IFNG,Monocyte,,,,Mac_Mono
IFNG@Condition:Monocytes&Duration:1.5h@GSE38351.MicroArray.HG-U133_Plus_2,IFNG,Monocyte,1.5h,,,Mac_Mono
IFNG@Condition:Monocyte&Duration:18h@GSE36537.MicroArray.GPL6480,IFNG,Monocyte,18h,,,Mac_Mono
IFNG@Condition:Monocyte&Duration:6h@GSE36537.MicroArray.GPL6480,IFNG,Monocyte,6h,,,Mac_Mono
IFNG@Condition:Monocytes@GSE83957.MicroArray.GPL10558,IFNG,Monocyte,,,,Mac_Mono
IL10@Condition:Monocytes&Duration:1h@GSE35683.MicroArray.HG-U133_Plus_2,IL10,Monocyte,1h,,,Mac_Mono
IL10@Condition:Monocytes@GSE82315.MicroArray.HuGene-1_0-st-v1,IL10,Monocyte,,,,Mac_Mono
IL10@Condition:Monocyte&Duration:3h@GSE82166.MicroArray.HuGene-1_0-st-v1,IL10,Monocyte,3h,,,Mac_Mono
IL10&Duration:10 h@Condition:monocytes@GSE47122.MicroArray.HG-U133_Plus_2,IL10,Monocyte,10h,,,Mac_Mono
IL13@Condition:Monocyte&Duration:24h@GSE47538.MicroArray.GPL13497,IL13,Monocyte,24h,,,Mac_Mono
IL13@Condition:Monocyte&Duration:6h@GSE47538.MicroArray.GPL13497,IL13,Monocyte,6h,,,Mac_Mono
IL1B&Duration:4h@Condition:Monocyte@GSE56681.MicroArray.HG-U133_Plus_2,IL1B,Monocyte,4h,,,Mac_Mono
IL4@Condition:Monocyte&Duration:24h@GSE47538.MicroArray.GPL13497,IL4,Monocyte,24h,,,Mac_Mono
IL4@Condition:Monocyte&Duration:6h@GSE47538.MicroArray.GPL13497,IL4,Monocyte,6h,,,Mac_Mono
IL4&Duration:12h@Condition:Monocyte@GSE35304.MicroArray.GPL6480,IL4,Monocyte,12h,,,Mac_Mono
IL4&Duration:24h@Condition:Monocyte@GSE35304.MicroArray.GPL6480,IL4,Monocyte,24h,,,Mac_Mono
IL4&Duration:48h@Condition:Monocyte@GSE35304.MicroArray.GPL6480,IL4,Monocyte,48h,,,Mac_Mono
IL4&Duration:4h@Condition:Monocyte@GSE35304.MicroArray.GPL6480,IL4,Monocyte,4h,,,Mac_Mono
IL4@Condition:Monocyte&Duration:18h@GSE36537.MicroArray.GPL6480,IL4,Monocyte,18h,,,Mac_Mono
IL4@Condition:Monocyte&Duration:6h@GSE36537.MicroArray.GPL6480,IL4,Monocyte,6h,,,Mac_Mono
IL4@Condition:Monocytes@GSE83957.MicroArray.GPL10558,IL4,Monocyte,,,,Mac_Mono
IL7&Duration:2h@Condition:Monocyte@E-MTAB-8225.RNASeq.ERP116746_GRCh38,IL7,Monocyte,2h,,,Mac_Mono
MCSF@Condition:Monocyte@GSE9801.MicroArray.HG-U133_Plus_2,MCSF,Monocyte,,,,Mac_Mono
MCSF@Condition:Monocyte@GSE123573.RNASeq.SRP173248_GRCh38,MCSF,Monocyte,,,,Mac_Mono
MCSF@Condition:monocyte@GSE37356.MicroArray.GPL10558,MCSF,Monocyte,,,,Mac_Mono
MCSF@Condition:Monocyte@GSE9801.MicroArray.HG-U133A,MCSF,Monocyte,,,,Mac_Mono
MCSF&Duration:4h@Condition:Monocyte@GSE99609.MicroArray.GPL23538,MCSF,Monocyte,4h,,,Mac_Mono
MCSF@Condition:monocytes@GSE131115.MicroArray.Clariom_S_Human,MCSF,Monocyte,,,,Mac_Mono
MCSF@Condition:Monocyte@GSE123270.MicroArray.GPL10558,MCSF,Monocyte,,,,Mac_Mono
MCSF&Duration:7d@Condition:Monocyte@GSE60199.MicroArray.GPL10558,MCSF,Monocyte,7d,,,Mac_Mono
MCSF@Condition:Monocyte@GSE52647.MicroArray.HuGene-1_0-st-v1,MCSF,Monocyte,,,,Mac_Mono
TNFA@Condition:Monocyte@GSE100382.RNASeq.SRP110187_GRCh38,TNFA,Monocyte,,,,Mac_Mono
TNFA@Condition:Monocytes&Duration:1.5h@GSE38351.MicroArray.HG-U133_Plus_2,TNFA,Monocyte,1.5h,,,Mac_Mono
TNFA&Dose:10ng/ml_Duration:16h@Condition:monocytes@GSE129210.RNASeq.SRP190161_GRCh38,TNFA,Monocyte,16h,10ng/mL,,Mac_Mono
TNFA&Duration:4h@Condition:Monocyte@GSE56681.MicroArray.HG-U133_Plus_2,TNFA,Monocyte,4h,,,Mac_Mono
TGFB1@Condition:Monocyte.THP1&Duration:24h@GSE17909.MicroArray.GPL6883,TGFB1,Monocyte.Thp1,24h,,,Mac_Mono
TGFB1@Condition:Myofibroblasts@GSE61128.MicroArray.HuEx-1_0-st-v2,TGFB1,Myofibroblast,,,,Fibroblast
CD40L@Condition:Naïve B cells purified from peripheral blood@GSE85543.MicroArray.HT_HG-U133_Plus_PM,CD40L,Naïve B Cells Purified From Peripheral Blood,,,,Bcell
IL21&Dose:20 ng/ml_Duration:30min@Condition:Naive NK cells@GSE129044.RNASeq.SRP189872_GRCh38,IL21,Naive Nk,30m,20ng/mL,,NK
IL5@Condition:natural killer cell@E-MTAB-2847.MicroArray.HuGene-2_0-st,IL5,Natural Killer,,,,NK
TGFB1@Condition:NCI-H358@GSE49644.MicroArray.HG-U133_Plus_2,TGFB1,Nci-H358,,,H358,Lung_tumor
TGFB1&Dose:4 ng/mL_Duration:14d@Condition:NCI-H358@GSE79235.MicroArray.GPL17077,TGFB1,Nci-H358,14d,4ng/mL,H358,Lung_tumor
GMCSF&Dose:5 ng/mL_Duration:1h@Condition:Neutrophil@GSE40548.RNASeq.SRP015360_GRCh38,GMCSF,Neutrophil,1h,5ng/mL,,Granulocyte
GMCSF@Condition:Neutrophil&Duration:1h@GSE70068.RNASeq.SRP059695_GRCh38,GMCSF,Neutrophil,1h,,,Granulocyte
HMGB1@Condition:Neutrophil@GSE3037.MicroArray.GPL96,HMGB1,Neutrophil,,,,Granulocyte
TNFA&Dose:10 ng/mL_Duration:1h@Condition:Neutrophil@GSE40548.RNASeq.SRP015360_GRCh38,TNFA,Neutrophil,1h,10ng/mL,,Granulocyte
TNFA@Condition:Neutrophil&Duration:1h@GSE70068.RNASeq.SRP059695_GRCh38,TNFA,Neutrophil,1h,,,Granulocyte
TSLP@Condition:neutrophil&Duration:24h@GSE73313.RNASeq.SRP063973_GRCh38,TSLP,Neutrophil,24h,,,Granulocyte
TSLP@Condition:neutrophil&Duration:4h@GSE73313.RNASeq.SRP063973_GRCh38,TSLP,Neutrophil,4h,,,Granulocyte
IL12@Condition:NK@GSE63038.MicroArray.HG-U133A,IL12,Nk,,,,NK
IL15&Dose:45 ng/mL_Duration:6h@Condition:NK@GSE70214.MicroArray.HuGene-2_0-st,IL15,Nk,6h,45ng/mL,,NK
IL2@Condition:NK@GSE62654.MicroArray.GPL17077,IL2,Nk,,,,NK
IL2&Dose:high@Condition:NK@GSE12198.MicroArray.HG-U133_Plus_2,IL2,Nk,,high,,NK
IL2&Dose:low@Condition:NK@GSE12198.MicroArray.HG-U133_Plus_2,IL2,Nk,,low,,NK
IL15@Condition:NK cells-peripheral blood@GSE22886.MicroArray.HG-U133A,IL15,Nk Cells-Peripheral Blood,,,,NK
IL2@Condition:NK cells-peripheral blood@GSE22886.MicroArray.HG-U133A,IL2,Nk Cells-Peripheral Blood,,,,NK
IL15@Condition:NK cells.IL15@GSE77808.RNASeq.SRP069884_GRCh38,IL15,Nk Cells.Il15,,,,NK
IL4@Condition:Normal B cells@GSE55288.MicroArray.GPL4133,IL4,Normal B,,,,Bcell
IGF1&Dose:50ng/ml_Duration:24h@Condition:Normal Fibroblasts@GSE18952.MicroArray.GPL9551,IGF1,Normal Fibroblast,24h,50ng/mL,,Fibroblast
IL13@Condition:Normal lung fibroblast&Duration:24h@GSE47538.MicroArray.GPL13497,IL13,Normal Lung Fibroblast,24h,,Lung_Fibroblast,Fibroblast
IL4@Condition:Normal lung fibroblast&Duration:24h@GSE47538.MicroArray.GPL13497,IL4,Normal Lung Fibroblast,24h,,Lung_Fibroblast,Fibroblast
TGFB1@Condition:Normal lung fibroblast&Duration:24h@GSE47538.MicroArray.GPL13497,TGFB1,Normal Lung Fibroblast,24h,,Lung_Fibroblast,Fibroblast
IL2@Condition:PBMC-derived T lymphocytes@GSE13909.MicroArray.HG-U133_Plus_2,IL2,Pbmc-Derived T Lymphocyte,,,,Tcell
